iter	Passed	Remaining
0	2266	2264443
1	4556	2273630
2	6833	2270926
3	9221	2296080
4	11550	2298521
5	13865	2297130
6	16192	2296971
7	18491	2292983
8	20766	2286664
9	23076	2284614
10	25374	2281431
11	27620	2274089
12	29885	2269001
13	32151	2264391
14	34441	2261641
15	36703	2257253
16	39012	2255847
17	41310	2253699
18	43573	2249772
19	45830	2245692
20	48089	2241865
21	50374	2239372
22	52661	2236982
23	54939	2234217
24	57191	2230449
25	59465	2227681
26	61757	2225542
27	64056	2223660
28	66363	2222024
29	68612	2218484
30	70888	2215833
31	73162	2213160
32	75441	2210672
33	77697	2207536
34	79981	2205217
35	82248	2202428
36	84507	2199485
37	86785	2197046
38	89036	2193952
39	91312	2191496
40	93607	2189509
41	95858	2186485
42	98118	2183698
43	100375	2180888
44	102626	2177962
45	104833	2174163
46	107096	2171556
47	109377	2169323
48	111612	2166198
49	113808	2162364
50	116061	2159648
51	118328	2157226
52	120554	2154064
53	122740	2150223
54	124983	2147446
55	127244	2144981
56	129479	2142096
57	131739	2139637
58	133994	2137092
59	136248	2134565
60	138509	2132142
61	140783	2129910
62	143022	2127176
63	145239	2124126
64	147500	2121737
65	149720	2118778
66	151973	2116283
67	154186	2113264
68	156435	2110740
69	158701	2108468
70	160934	2105750
71	163190	2103346
72	165392	2100261
73	167690	2098403
74	169895	2095372
75	172172	2093255
76	174417	2090746
77	176654	2088148
78	178906	2085736
79	181107	2082741
80	183309	2079772
81	185590	2077711
82	187853	2075440
83	190071	2072679
84	192323	2070300
85	194588	2068066
86	196830	2065589
87	199058	2062973
88	201287	2060373
89	203480	2057414
90	205668	2054422
91	207929	2052171
92	210194	2049961
93	212417	2047342
94	214715	2045452
95	216978	2043213
96	219194	2040542
97	221430	2038066
98	223665	2035586
99	225922	2033304
100	228192	2031137
101	230400	2028426
102	232661	2026184
103	234946	2024157
104	237207	2021910
105	239400	2019091
106	241622	2016529
107	243822	2013791
108	246073	2011483
109	248316	2009109
110	250577	2006877
111	252835	2004626
112	255090	2002350
113	257355	2000148
114	259642	1998118
115	261856	1995527
116	264137	1993445
117	266392	1991173
118	268635	1988805
119	270877	1986436
120	273140	1984218
121	275405	1982020
122	277654	1979696
123	279888	1977275
124	282153	1975071
125	284415	1972852
126	286609	1970161
127	288836	1967697
128	291141	1965769
129	293398	1963515
130	295618	1961011
131	297896	1958894
132	300196	1956920
133	302422	1954462
134	304703	1952356
135	306980	1950227
136	309253	1948071
137	311526	1945911
138	313820	1943882
139	316113	1941840
140	318365	1939545
141	320680	1937634
142	322974	1935590
143	325242	1933387
144	327542	1931368
145	329777	1928969
146	332017	1926602
147	334373	1924908
148	336643	1922709
