id,predicted
1,12
2,24
3,91
4,54
5,126
6,76
7,96
8,42
9,127
10,117
11,90
12,19
13,79
14,93
15,71
16,111
17,6
18,40
19,104
20,49
21,50
22,78
23,108
24,126
25,113
26,89
27,2
28,18
29,115
30,49
31,77
32,45
33,65
34,24
35,69
36,59
37,46
38,8
39,8
40,93
41,89
42,128
43,3
44,85
45,97
46,90
47,43
48,29
49,75
50,55
51,27
52,127
53,48
54,45
55,3
56,62
57,71
58,5
59,42
60,40
61,112
62,111
63,120
64,26
65,40
66,87
67,11
68,72
69,8
70,46
71,68
72,25
73,118
74,107
75,75
76,38
77,45
78,26
79,72
80,90
81,43
82,115
83,58
84,100
85,119
86,65
87,125
88,126
89,59
90,107
91,30
92,89
93,14
94,4
95,24
96,59
97,102
98,93
99,91
100,55
101,80
102,113
103,45
104,84
105,81
106,70
107,83
108,87
109,126
110,98
111,91
112,106
113,16
114,98
115,40
116,90
117,36
118,59
119,74
120,63
121,112
122,83
123,47
124,67
125,48
126,76
127,105
128,61
129,16
130,58
131,85
132,111
133,20
134,44
135,76
136,101
137,128
138,31
139,27
140,9
141,77
142,9
143,105
144,27
145,47
146,93
147,45
148,71
149,1
150,61
151,55
152,34
153,68
154,65
155,17
156,91
157,37
158,52
159,42
160,22
161,119
162,20
163,9
164,123
165,98
166,64
167,77
168,46
169,62
170,32
171,64
172,61
173,14
174,85
175,20
176,92
177,22
178,120
179,16
180,42
181,22
182,45
183,79
184,34
185,64
186,80
187,27
188,39
189,53
190,20
191,57
192,56
193,114
194,26
195,56
196,24
197,61
198,94
199,104
200,93
201,51
202,91
203,61
204,15
205,92
206,93
207,5
208,62
209,22
210,115
211,74
212,111
213,108
214,85
215,9
216,126
217,12
218,24
219,121
220,93
221,71
222,18
223,76
224,22
225,58
226,33
227,9
228,58
229,71
230,71
231,15
232,47
233,93
234,20
235,23
236,93
237,24
238,85
239,68
240,96
241,3
242,111
243,105
244,52
245,110
246,121
247,48
248,118
249,61
250,30
251,18
252,82
253,12
254,4
255,35
256,110
257,114
258,108
259,108
260,77
261,27
262,32
263,34
264,126
265,96
266,6
267,5
268,39
269,53
270,45
271,54
272,30
273,75
274,94
275,61
276,31
277,91
278,50
279,8
280,41
281,68
282,86
283,10
284,20
285,128
286,75
287,40
288,78
289,42
290,45
291,9
292,20
293,84
294,28
295,113
296,30
297,70
298,18
299,127
300,6
301,40
302,88
303,56
304,108
305,36
306,39
307,70
308,47
309,41
310,87
311,81
312,97
313,31
314,1
315,100
316,97
317,49
318,38
319,63
320,41
321,41
322,122
323,51
324,68
325,41
326,48
327,28
328,17
329,4
330,34
331,2
332,75
333,65
334,102
335,121
336,44
337,63
338,118
339,82
340,105
341,16
342,67
343,56
344,88
345,2
346,39
347,1
348,104
349,60
350,78
351,51
352,126
353,93
354,27
355,51
356,21
357,55
358,94
359,85
360,88
361,91
362,30
363,24
364,126
365,65
366,104
367,17
368,126
369,24
370,27
371,31
372,34
373,112
374,118
375,28
376,62
377,87
378,34
379,44
380,56
381,18
382,82
383,65
384,20
385,120
386,79
387,115
388,109
389,114
390,7
391,16
392,5
393,101
394,75
395,3
396,71
397,110
398,82
399,106
400,116
401,111
402,120
403,103
404,3
405,88
406,28
407,8
408,68
409,89
410,40
411,85
412,93
413,80
414,113
415,96
416,49
417,55
418,63
419,47
420,122
421,22
422,92
423,32
424,35
425,72
426,103
427,79
428,34
429,79
430,120
431,75
432,88
433,16
434,106
435,10
436,12
437,40
438,27
439,110
440,125
441,97
442,42
443,30
444,22
445,113
446,88
447,38
448,99
449,119
450,81
451,60
452,98
453,15
454,45
455,91
456,115
457,92
458,55
459,110
460,39
461,64
462,1
463,46
464,28
465,61
466,98
467,13
468,31
469,128
470,65
471,36
472,47
473,42
474,20
475,20
476,57
477,36
478,25
479,67
480,49
481,37
482,49
483,87
484,112
485,42
486,82
487,37
488,76
489,48
490,92
491,17
492,47
493,64
494,124
495,56
496,20
497,32
498,51
499,7
500,42
501,20
502,128
503,1
504,2
505,29
506,13
507,7
508,70
509,98
510,22
511,122
512,87
513,93
514,126
515,97
516,111
517,98
518,123
519,52
520,94
521,123
522,128
523,45
524,70
525,102
526,84
527,104
528,4
529,60
530,81
531,125
532,1
533,22
534,38
535,90
536,40
537,117
538,87
539,43
540,90
541,52
542,75
543,37
544,1
545,94
546,13
547,116
548,82
549,28
550,61
551,124
552,49
553,115
554,45
555,65
556,8
557,13
558,119
559,89
560,69
561,100
562,104
563,14
564,85
565,11
566,112
567,122
568,27
569,47
570,42
571,44
572,121
573,87
574,118
575,91
576,102
577,30
578,79
579,69
580,112
581,60
582,126
583,35
584,75
585,104
586,7
587,18
588,89
589,2
590,21
591,102
592,24
593,80
594,70
595,11
596,6
597,95
598,59
599,22
600,45
601,58
602,115
603,75
604,52
605,52
606,45
607,62
608,52
609,68
610,38
611,31
612,103
613,32
614,98
615,9
616,76
617,68
618,107
619,36
620,74
621,82
622,66
623,101
624,116
625,33
626,63
627,10
628,120
629,70
630,9
631,2
632,7
633,45
634,16
635,28
636,91
637,37
638,120
639,24
640,5
641,109
642,87
643,52
644,77
645,88
646,89
647,55
648,79
649,20
650,96
651,117
652,3
653,54
654,69
655,111
656,89
657,100
658,28
659,91
660,33
661,73
662,37
663,56
664,126
665,22
666,10
667,89
668,63
669,62
670,6
671,8
672,120
673,46
674,17
675,18
676,106
677,36
678,44
679,75
680,93
681,43
682,87
683,62
684,113
685,72
686,27
687,31
688,85
689,65
690,89
691,93
692,37
693,38
694,65
695,15
696,55
697,78
698,115
699,11
700,1
701,28
702,28
703,21
704,8
705,99
706,42
707,22
708,103
709,108
710,112
711,81
712,81
713,63
714,73
715,120
716,20
717,26
718,9
719,98
720,28
721,83
722,102
723,84
724,61
725,20
726,49
727,75
728,120
729,54
730,118
731,19
732,49
733,49
734,63
735,44
736,120
737,9
738,126
739,52
740,26
741,8
742,116
743,95
744,28
745,128
746,86
747,75
748,34
749,49
750,54
751,32
752,45
753,43
754,84
755,71
756,20
757,28
758,4
759,10
760,73
761,79
762,51
763,65
764,126
765,49
766,58
767,79
768,77
769,102
770,13
771,54
772,117
773,91
774,95
775,17
776,98
777,120
778,104
779,61
780,93
781,81
782,114
783,36
784,20
785,101
786,39
787,55
788,61
789,97
790,43
791,104
792,1
793,46
794,62
795,61
796,95
797,41
798,56
799,91
800,56
801,45
802,69
803,88
804,107
805,11
806,112
807,106
808,28
809,32
810,64
811,122
812,43
813,51
814,100
815,94
816,98
817,63
818,122
819,88
820,3
821,40
822,51
823,73
824,17
825,51
826,19
827,103
828,23
829,71
830,95
831,116
832,126
833,49
834,103
835,80
836,79
837,121
838,25
839,117
840,51
841,46
842,119
843,103
844,73
845,104
846,76
847,91
848,88
849,81
850,87
851,87
852,1
853,89
854,103
855,61
856,36
857,85
858,61
859,110
860,20
861,89
862,75
863,38
864,59
865,96
866,34
867,28
868,90
869,16
870,90
871,45
872,46
873,123
874,104
875,61
876,111
877,93
878,8
879,60
880,81
881,55
882,45
883,16
884,122
885,28
886,96
887,105
888,16
889,96
890,32
891,49
892,117
893,91
894,41
895,95
896,112
897,25
898,11
899,106
900,9
901,56
902,84
903,22
904,53
905,49
906,23
907,93
908,84
909,68
910,48
911,27
912,17
913,100
914,78
915,25
916,122
917,42
918,93
919,39
920,79
921,3
922,92
923,93
924,47
925,19
926,16
927,122
928,87
929,6
930,91
931,72
932,37
933,124
934,42
935,47
936,102
937,21
938,96
939,109
940,54
941,40
942,103
943,91
944,72
945,126
946,61
947,116
948,107
949,33
950,74
951,121
952,75
953,127
954,52
955,76
956,11
957,81
958,28
959,95
960,59
961,53
962,84
963,29
964,2
965,36
966,46
967,27
968,3
969,126
970,27
971,76
972,59
973,62
974,59
975,114
976,40
977,40
978,28
979,68
980,8
981,37
982,101
983,64
984,110
985,86
986,31
987,46
988,81
989,37
990,17
991,53
992,120
993,91
994,27
995,90
996,107
997,2
998,65
999,90
1000,26
1001,102
1002,58
1003,45
1004,21
1005,55
1006,122
1007,1
1008,12
1009,102
1010,63
1011,122
1012,22
1013,21
1014,20
1015,89
1016,20
1017,117
1018,51
1019,8
1020,115
1021,100
1022,40
1023,69
1024,54
1025,13
1026,111
1027,101
1028,81
1029,56
1030,65
1031,9
1032,103
1033,23
1034,22
1035,39
1036,61
1037,63
1038,86
1039,100
1040,60
1041,7
1042,61
1043,100
1044,85
1045,86
1046,75
1047,52
1048,88
1049,35
1050,48
1051,79
1052,41
1053,53
1054,11
1055,46
1056,16
1057,54
1058,12
1059,63
1060,53
1061,76
1062,110
1063,118
1064,12
1065,43
1066,30
1067,126
1068,99
1069,47
1070,110
1071,126
1072,115
1073,116
1074,92
1075,126
1076,31
1077,101
1078,17
1079,83
1080,125
1081,51
1082,121
1083,115
1084,104
1085,25
1086,43
1087,101
1088,97
1089,112
1090,41
1091,12
1092,32
1093,117
1094,104
1095,126
1096,53
1097,126
1098,108
1099,91
1100,111
1101,1
1102,85
1103,110
1104,5
1105,46
1106,42
1107,88
1108,66
1109,93
1110,71
1111,88
1112,94
1113,94
1114,47
1115,65
1116,9
1117,24
1118,16
1119,28
1120,8
1121,106
1122,72
1123,82
1124,112
1125,126
1126,18
1127,42
1128,100
1129,36
1130,103
1131,93
1132,28
1133,24
1134,55
1135,105
1136,33
1137,120
1138,50
1139,110
1140,92
1141,101
1142,99
1143,17
1144,102
1145,67
1146,75
1147,27
1148,72
1149,6
1150,97
1151,67
1152,16
1153,33
1154,116
1155,96
1156,61
1157,27
1158,77
1159,27
1160,72
1161,121
1162,28
1163,17
1164,113
1165,111
1166,56
1167,97
1168,71
1169,75
1170,51
1171,54
1172,102
1173,54
1174,65
1175,117
1176,97
1177,68
1178,19
1179,3
1180,101
1181,79
1182,85
1183,76
1184,19
1185,111
1186,34
1187,1
1188,15
1189,34
1190,13
1191,65
1192,38
1193,103
1194,70
1195,65
1196,27
1197,24
1198,63
1199,47
1200,114
1201,9
1202,12
1203,108
1204,69
1205,51
1206,77
1207,61
1208,39
1209,45
1210,63
1211,109
1212,53
1213,13
1214,95
1215,122
1216,21
1217,76
1218,10
1219,38
1220,55
1221,116
1222,119
1223,7
1224,31
1225,91
1226,81
1227,42
1228,65
1229,128
1230,56
1231,18
1232,30
1233,45
1234,58
1235,42
1236,57
1237,22
1238,75
1239,98
1240,98
1241,107
1242,113
1243,28
1244,107
1245,113
1246,55
1247,54
1248,120
1249,67
1250,109
1251,83
1252,101
1253,20
1254,32
1255,42
1256,43
1257,93
1258,118
1259,72
1260,101
1261,4
1262,98
1263,3
1264,81
1265,1
1266,60
1267,24
1268,58
1269,101
1270,53
1271,70
1272,98
