id,predicted
1,12
2,71
3,91
4,54
5,42
6,76
7,94
8,80
9,127
10,117
11,90
12,19
13,87
14,38
15,71
16,111
17,6
18,40
19,104
20,49
21,54
22,61
23,108
24,15
25,113
26,97
27,55
28,18
29,47
30,73
31,77
32,21
33,65
34,24
35,74
36,80
37,46
38,8
39,103
40,45
41,89
42,68
43,3
44,85
45,97
46,90
47,82
48,29
49,75
50,6
51,49
52,127
53,48
54,21
55,3
56,7
57,71
58,49
59,42
60,40
61,27
62,14
63,128
64,26
65,101
66,87
67,46
68,60
69,8
70,46
71,68
72,28
73,118
74,107
75,75
76,116
77,91
78,3
79,72
80,90
81,43
82,55
83,3
84,100
85,119
86,124
87,49
88,96
89,120
90,107
91,30
92,89
93,14
94,4
95,24
96,59
97,102
98,104
99,70
100,55
101,80
102,113
103,45
104,84
105,81
106,13
107,83
108,39
109,126
110,98
111,91
112,106
113,16
114,2
115,40
116,90
117,36
118,128
119,105
120,63
121,112
122,83
123,47
124,67
125,48
126,76
127,105
128,61
129,115
130,58
131,85
132,111
133,20
134,44
135,76
136,101
137,70
138,103
139,27
140,123
141,77
142,123
143,105
144,27
145,47
146,122
147,21
148,71
149,1
150,61
151,92
152,34
153,127
154,65
155,69
156,114
157,37
158,33
159,42
160,22
161,119
162,20
163,72
164,123
165,50
166,20
167,77
168,46
169,62
170,57
171,64
172,61
173,14
174,85
175,11
176,92
177,45
178,77
179,16
180,42
181,56
182,45
183,99
184,34
185,64
186,80
187,27
188,39
189,53
190,20
191,87
192,56
193,32
194,26
195,56
196,83
197,61
198,60
199,104
200,36
201,51
202,91
203,62
204,4
205,38
206,104
207,5
208,62
209,22
210,115
211,82
212,111
213,60
214,4
215,123
216,8
217,12
218,24
219,121
220,56
221,71
222,18
223,76
224,6
225,58
226,122
227,79
228,58
229,71
230,71
231,15
232,47
233,104
234,20
235,15
236,13
237,28
238,85
239,68
240,96
241,103
242,111
243,105
244,52
245,106
246,121
247,48
248,118
249,61
250,30
251,18
252,82
253,12
254,23
255,35
256,110
257,114
258,106
259,108
260,77
261,49
262,32
263,34
264,103
265,45
266,6
267,5
268,39
269,53
270,37
271,54
272,27
273,88
274,94
275,42
276,31
277,8
278,50
279,8
280,41
281,68
282,86
283,10
284,102
285,128
286,75
287,40
288,78
289,42
290,78
291,79
292,60
293,84
294,28
295,113
296,20
297,117
298,18
299,127
300,6
301,40
302,88
303,56
304,108
305,36
306,109
307,70
308,72
309,41
310,39
311,81
312,97
313,14
314,1
315,100
316,51
317,49
318,38
319,29
320,78
321,41
322,24
323,53
